iter	Passed	Remaining
0	2	219
1	4	202
2	6	197
3	7	181
4	9	178
5	11	175
6	13	173
7	14	171
8	16	169
9	18	167
10	20	165
11	22	164
12	24	162
13	26	160
14	27	157
15	29	155
16	31	153
17	33	151
18	35	150
19	36	147
20	38	145
21	40	143
22	42	141
23	43	139
24	45	136
25	47	134
26	49	132
27	51	131
28	53	130
29	54	128
30	56	126
31	58	124
32	60	122
33	62	120
34	64	119
35	66	117
36	67	115
37	69	113
38	71	112
39	73	110
40	75	109
41	76	105
42	78	104
43	80	102
44	82	101
45	84	99
46	86	97
47	88	95
48	89	93
49	91	91
50	93	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	103	78
57	105	76
58	107	74
59	109	73
60	111	71
61	113	69
62	115	67
63	116	65
64	118	63
65	120	62
66	122	60
67	124	58
68	126	56
69	128	54
70	129	53
71	131	51
72	133	49
73	135	47
74	137	45
75	139	43
76	141	42
77	142	40
78	144	38
79	146	36
80	148	34
81	149	32
82	151	31
83	153	29
84	155	27
85	157	25
86	158	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	171	10
94	173	9
95	175	7
96	177	5
97	179	3
98	181	1
99	184	0
