iter	Passed	Remaining
0	137	137619
1	138	69222
2	139	46408
3	140	35002
4	143	28575
5	144	23919
6	145	20599
7	146	18164
8	147	16228
9	148	14684
10	149	13423
11	150	12391
12	151	11501
13	152	10723
14	152	10045
15	153	9453
16	154	8934
17	155	8473
18	157	8142
19	158	7767
20	159	7429
21	160	7121
22	160	6837
23	162	6590
24	162	6355
25	163	6131
26	164	5942
27	165	5751
28	166	5568
29	167	5404
30	167	5250
31	168	5105
32	169	4972
33	170	4843
34	171	4733
35	173	4649
36	174	4538
37	175	4432
38	176	4360
39	177	4264
40	178	4172
41	179	4085
42	179	4002
43	180	3922
44	181	3846
45	181	3773
46	182	3702
47	183	3634
48	185	3606
49	186	3546
50	187	3490
51	188	3436
52	189	3382
53	190	3333
54	191	3283
55	191	3233
56	192	3184
57	193	3137
58	193	3092
59	194	3048
60	195	3008
61	196	2966
62	196	2926
63	197	2887
64	198	2851
65	200	2833
66	200	2798
67	201	2763
68	202	2730
69	203	2697
70	203	2665
71	204	2634
72	205	2609
73	206	2583
74	207	2556
75	208	2531
76	209	2505
77	209	2478
78	210	2450
79	210	2424
80	211	2398
81	212	2374
82	212	2346
83	213	2327
84	214	2307
85	216	2303
86	217	2283
87	218	2264
88	219	2244
89	220	2225
90	220	2206
91	221	2187
92	222	2169
93	223	2151
94	224	2136
95	225	2121
96	226	2105
97	226	2089
98	227	2073
99	230	2072
100	231	2058
101	232	2044
102	233	2029
103	233	2014
104	234	1999
105	235	1984
106	235	1969
107	236	1954
108	237	1940
109	238	1926
110	238	1912
111	239	1899
112	240	1885
113	240	1872
114	241	1859
115	242	1846
116	242	1832
117	244	1824
118	244	1811
119	245	1800
120	246	1788
121	246	1775
122	247	1763
123	248	1752
124	248	1741
125	249	1730
126	250	1718
127	250	1708
128	251	1698
129	252	1687
130	252	1677
131	253	1667
132	254	1657
133	255	1648
134	255	1638
135	256	1629
136	258	1628
137	259	1620
138	260	1611
139	260	1601
140	261	1592
141	261	1582
142	262	1573
143	263	1564
144	263	1556
145	264	1548
146	265	1539
147	265	1530
148	266	1522
149	267	1514
150	267	1505
151	268	1497
152	269	1489
153	269	1481
154	270	1477
155	271	1469
156	273	1467
157	274	1461
158	275	1454
159	275	1448
160	276	1439
161	277	1433
162	277	1426
163	278	1419
164	279	1412
165	279	1405
166	280	1398
167	281	1392
168	281	1385
169	282	1379
170	283	1372
171	283	1366
172	284	1360
173	285	1354
174	285	1347
175	287	1346
176	288	1341
177	289	1335
178	289	1330
179	290	1324
180	291	1318
181	292	1312
182	292	1307
183	293	1301
184	294	1295
185	294	1289
186	295	1284
187	296	1278
188	296	1273
189	297	1268
190	298	1265
191	299	1261
192	300	1257
193	302	1257
194	303	1253
195	304	1247
196	304	1242
197	305	1237
198	306	1232
199	306	1227
200	307	1222
201	308	1217
202	309	1213
203	309	1208
204	310	1203
205	310	1198
206	311	1193
207	312	1190
208	313	1185
209	314	1181
210	314	1176
211	315	1172
212	316	1167
213	318	1168
214	318	1163
215	319	1160
216	320	1155
217	321	1151
218	321	1147
219	322	1143
220	323	1138
221	323	1134
222	324	1130
223	325	1126
224	325	1121
225	326	1118
226	327	1114
227	327	1110
228	328	1106
229	329	1102
230	329	1098
231	330	1094
232	332	1093
233	332	1089
234	333	1086
235	334	1082
236	335	1078
237	335	1074
238	336	1071
239	337	1067
240	337	1063
241	338	1059
242	338	1055
243	339	1052
244	340	1049
245	376	1154
246	377	1151
247	378	1147
248	379	1144
249	380	1141
250	381	1137
251	382	1134
252	383	1131
253	383	1127
254	384	1124
255	385	1120
256	386	1117
257	387	1114
258	388	1110
259	389	1107
260	394	1117
261	395	1114
262	396	1111
263	397	1108
264	398	1105
265	399	1102
266	400	1099
267	401	1096
268	402	1092
269	403	1091
270	404	1088
271	405	1085
272	407	1084
273	408	1081
274	409	1078
275	410	1075
276	410	1072
277	430	1118
278	432	1117
279	434	1116
280	437	1120
281	441	1122
282	442	1119
283	442	1116
284	444	1113
285	445	1112
286	446	1109
287	447	1107
288	448	1104
289	450	1101
290	450	1098
291	451	1095
292	452	1092
293	454	1091
294	455	1089
295	456	1086
296	457	1082
297	458	1079
298	459	1077
299	460	1074
300	461	1071
301	462	1068
302	463	1065
303	464	1062
304	465	1059
305	465	1056
306	466	1053
307	467	1050
308	480	1074
